responseid,starttime,endtime,verbal,direction,condition,consent,check,gender,age,answer,dv,extreme,stock
R_Xt6UaEekERIYagp,3/30/2018 9:31,3/30/2018 9:34,1,0,verbal,1,4,2,54,2,7,0,FII
R_Y0tcOewA5OE8kZb,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,2,39,1,7,0,CFX
R_psnh5sStbgBCn6N,3/30/2018 9:26,3/30/2018 9:28,1,0,verbal,1,4,1,48,1,8,1,UFS
R_1F3eRCSgYgw0LYN,3/30/2018 10:21,3/30/2018 10:23,1,0,verbal,1,4,1,32,2,5,0,RHI
R_ekw1FtuSFuqafXb,3/30/2018 9:26,3/30/2018 9:27,1,0,verbal,1,4,1,50,2,7,0,TEP
R_2eQLpJCKjk0x9WS,3/30/2018 10:41,3/30/2018 10:43,1,0,verbal,1,4,1,42,1,6,0,HEP
R_33rMVrVruNr0TOT,3/30/2018 12:05,3/30/2018 12:07,1,0,verbal,1,4,1,22,1,8,1,RHI
R_3J9mqruXE6tVL2i,3/30/2018 9:24,3/30/2018 9:27,1,0,verbal,1,4,2,71,2,8,1,RHI
R_2f1JLrfrVzsZHeJ,3/30/2018 10:47,3/30/2018 10:49,1,0,verbal,1,4,2,58,2,6,0,RHI
R_1qVft1cdnnZuy6E,3/30/2018 10:38,3/30/2018 10:39,1,0,verbal,1,4,1,30,1,6,0,CFX
R_2WTKbG7BD7uec9S,3/30/2018 10:23,3/30/2018 10:27,1,0,verbal,1,4,1,28,2,6,0,VET
R_2WTKbG7BD7uec9S,3/30/2018 10:23,3/30/2018 10:27,1,0,verbal,1,4,1,28,1,6,0,VET
R_2VxdUzXTROgsOCi,3/30/2018 10:10,3/30/2018 10:12,1,0,verbal,1,4,1,57,2,6,0,UFS
R_2VxdUzXTROgsOCi,3/30/2018 10:10,3/30/2018 10:12,1,0,verbal,1,4,1,57,1,6,0,UFS
R_A7lvOjyFWl3ayrf,3/30/2018 11:46,3/30/2018 11:51,1,0,verbal,1,4,2,52,1,8,1,GIL
R_2V1kK4OiwQgXPb4,3/30/2018 10:51,3/30/2018 10:54,1,0,verbal,1,4,1,35,1,7,0,UFS
R_2V1kK4OiwQgXPb4,3/30/2018 10:51,3/30/2018 10:54,1,0,verbal,1,4,1,35,2,8,1,UFS
R_emq3MHE6bhooFqh,3/30/2018 10:18,3/30/2018 10:19,1,0,verbal,1,4,1,28,2,5,0,VET
R_cXQJNQHV6iXRO3n,3/30/2018 10:37,3/30/2018 10:39,1,0,verbal,1,4,1,63,1,6,0,RHI
R_9XIGeVdsrqXfJoB,3/30/2018 11:21,3/30/2018 11:26,1,0,verbal,1,4,1,37,2,7,0,TEP
R_214Y5PwDlabB8M8,3/30/2018 10:51,3/30/2018 10:53,1,0,verbal,1,4,2,30,1,7,0,LPT
R_xrWFOdYcXlt416p,3/30/2018 13:26,3/30/2018 13:35,1,0,verbal,1,4,2,30,1,8,1,VET
R_1IKGwDSJuOU4BbL,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,1,29,1,7,0,UFS
R_1RnNFE8yw1PjrHj,3/30/2018 12:53,3/30/2018 12:59,1,0,verbal,1,4,1,29,1,8,1,TEP
R_3fI4xgPFJJJFtDF,3/30/2018 9:55,3/30/2018 9:57,1,0,verbal,1,4,1,37,1,6,0,LPT
R_2Ev0Bv5ujcUxw7n,3/30/2018 9:54,3/30/2018 9:55,1,0,verbal,1,4,2,29,1,7,0,CFX
R_viU7l74PrF3eg9j,3/30/2018 10:32,3/30/2018 10:34,1,0,verbal,1,4,2,47,1,7,0,HEP
R_3JaqjIQlvrTHTrU,3/30/2018 14:31,3/30/2018 14:32,1,0,verbal,1,4,1,30,2,6,0,HEP
R_1KoM9SvATWvamy3,3/30/2018 9:50,3/30/2018 9:52,1,0,verbal,1,4,2,71,1,7,0,GIL
R_3JaqjIQlvrTHTrU,3/30/2018 14:31,3/30/2018 14:32,1,0,verbal,1,4,1,30,1,6,0,HEP
R_1F3eRCSgYgw0LYN,3/30/2018 10:21,3/30/2018 10:23,1,0,verbal,1,4,1,32,1,5,0,RHI
R_1KflQP49C0jlOjf,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,35,1,7,0,GIL
R_1FqUZvNZ3KHNVFs,3/30/2018 14:13,3/30/2018 14:15,1,0,verbal,1,4,1,41,1,7,0,FII
R_W8MMxIZoe5NLNxD,3/30/2018 9:41,3/30/2018 9:45,1,0,verbal,1,4,1,27,2,7,0,CFX
R_V2MSud0cTX9uJb3,3/30/2018 9:58,3/30/2018 10:00,1,0,verbal,1,4,1,57,1,7,0,TEP
R_2wt6i21tkz3R6Lp,3/30/2018 9:37,3/30/2018 9:39,1,0,verbal,1,4,2,68,2,7,0,VET
R_1nOBbBRYvHG9wXA,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,2,24,2,6,0,LPT
R_1mJIE2N5g57WwXH,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,35,2,9,1,RHI
R_1FFo0jrJUPVTBsg,3/30/2018 11:04,3/30/2018 11:06,1,0,verbal,1,4,2,64,1,6,0,SCI
R_1FFo0jrJUPVTBsg,3/30/2018 11:04,3/30/2018 11:06,1,0,verbal,1,4,2,64,2,7,0,SCI
R_3kcFvYb6gz6YJYg,3/30/2018 10:44,3/30/2018 10:45,1,0,verbal,1,4,1,42,1,6,0,TEP
R_ZL8t2VxKqtE2yPL,3/30/2018 12:06,3/30/2018 12:08,1,0,verbal,1,4,1,26,2,8,1,FII
R_7OpiGOWw6eCAUqR,3/30/2018 11:37,3/30/2018 11:39,1,0,verbal,1,4,2,51,2,7,0,SCI
R_1dlQesffI02PisH,3/30/2018 10:02,3/30/2018 10:03,1,0,verbal,1,4,1,69,1,8,1,LPT
R_2ZKZh1psb2rFUzG,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,46,1,7,0,UFS
R_305IBxFjmbwbrQN,3/30/2018 9:35,3/30/2018 9:38,1,0,verbal,1,4,1,29,1,4,0,VET
R_7OpiGOWw6eCAUqR,3/30/2018 11:37,3/30/2018 11:39,1,0,verbal,1,4,2,51,1,7,0,SCI
R_tYblQ4sfdvqMpJn,3/30/2018 12:54,3/30/2018 12:56,1,0,verbal,1,4,1,54,1,8,1,RHI
R_d5xITJLSLGDzIsh,3/30/2018 9:51,3/30/2018 9:55,1,0,verbal,1,4,2,70,2,8,1,SCI
R_xrWFOdYcXlt416p,3/30/2018 13:26,3/30/2018 13:35,1,0,verbal,1,4,2,30,2,8,1,VET
R_2CBLcga4GmmJ5Aq,3/30/2018 9:42,3/30/2018 9:43,1,0,verbal,1,4,1,25,2,9,1,SCI
R_26c1n1qPMRVfUFX,3/30/2018 9:46,3/30/2018 9:48,1,0,verbal,1,4,1,27,2,7,0,FII
R_2Ym75E6fvDQuKjN,3/30/2018 13:10,3/30/2018 13:11,1,0,verbal,1,4,1,35,1,7,0,FII
R_3Ga0rxGhpU7BJdD,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,28,1,8,1,CFX
R_3e2mCvWpIAc1X82,3/30/2018 13:41,3/30/2018 13:44,1,0,verbal,1,4,2,43,1,6,0,GIL
R_2wGC1AEO5ic5Wwb,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,1,34,2,8,1,CFX
R_6DxQKcuSNU5YVwd,3/30/2018 12:35,3/30/2018 15:23,1,0,verbal,1,4,2,34,2,6,0,FII
R_3kj6clHIFzQjhDm,3/30/2018 10:03,3/30/2018 10:05,1,0,verbal,1,4,1,55,2,7,0,UFS
R_3g7ApcmnUSDyCCC,3/30/2018 9:48,3/30/2018 9:49,1,0,verbal,1,4,2,31,1,6,0,VET
R_2YbrwmotChwkC7k,3/30/2018 13:04,3/30/2018 13:11,1,0,verbal,1,4,4,25,2,6,0,LPT
R_2TRE8RU6m5qvQmY,3/30/2018 12:58,3/30/2018 13:00,1,0,verbal,1,4,2,49,2,6,0,UFS
R_sLNeBOCev7lmACt,3/30/2018 9:44,3/30/2018 9:49,1,0,verbal,1,4,2,31,1,6,0,LPT
R_1Kd5qO5JcThEu4p,3/30/2018 14:33,3/30/2018 14:34,1,0,verbal,1,4,2,33,1,7,0,TEP
R_12fK3dA7WdAXSfy,3/30/2018 10:33,3/30/2018 10:34,1,0,verbal,1,4,2,35,2,8,1,UFS
R_1Ij8u8iUVFvXJAI,3/30/2018 14:28,3/30/2018 14:28,1,0,verbal,1,4,1,24,1,2,0,GIL
R_UbtOOazDgLJA9wJ,3/30/2018 9:24,3/30/2018 9:29,1,0,verbal,1,4,2,24,1,6,0,VET
R_qD6YxMiTzMUEC1b,3/30/2018 10:19,3/30/2018 10:31,1,0,verbal,1,4,1,31,1,7,0,SCI
R_2zbU6Q2jSGMFBkl,3/30/2018 12:23,3/30/2018 12:27,1,0,verbal,1,4,2,28,2,7,0,TEP
R_1GlLcNk7TOEP9KN,3/30/2018 13:50,3/30/2018 13:52,1,0,verbal,1,4,2,35,1,7,0,SCI
R_PANVt5TbqgDl3iN,3/30/2018 9:27,3/30/2018 9:35,1,0,verbal,1,4,2,40,1,6,0,RHI
R_1hDQWhRH9XJXk0U,3/30/2018 13:32,3/30/2018 13:40,1,0,verbal,1,4,2,65,2,7,0,UFS
R_RK8ktA7M2oca8dH,3/30/2018 9:57,3/30/2018 9:59,1,0,verbal,1,4,1,30,1,6,0,GIL
R_3lKSsQJXJpJhngn,3/30/2018 9:40,3/30/2018 9:43,1,0,verbal,1,4,1,33,2,7,0,HEP
R_3shmz0y3Yhyk0qE,3/30/2018 9:52,3/30/2018 9:54,1,0,verbal,1,4,1,61,1,7,0,SCI
R_AizO0lRiN0jtc2J,3/30/2018 9:47,3/30/2018 9:49,1,0,verbal,1,4,1,52,1,6,0,LPT
R_1HdIhsM79G1gGzW,3/30/2018 14:36,3/30/2018 14:37,1,0,verbal,1,4,2,30,2,9,1,SCI
R_rlht6pJf3EVcVNL,3/30/2018 12:18,3/30/2018 12:21,1,0,verbal,1,4,1,24,2,6,0,FII
R_rlht6pJf3EVcVNL,3/30/2018 12:18,3/30/2018 12:21,1,0,verbal,1,4,1,24,1,4,0,FII
R_33eEF2ig7O0E9za,3/30/2018 10:28,3/30/2018 10:30,1,0,verbal,1,4,1,40,2,7,0,LPT
R_3HB858UJSLuX2a2,3/30/2018 9:27,3/30/2018 10:38,1,0,verbal,1,4,1,59,1,6,0,RHI
R_29hPQZwXjoVra9L,3/30/2018 9:28,3/30/2018 9:29,1,0,verbal,1,4,1,38,1,6,0,RHI
R_bgcRh9ynRnn83SN,3/30/2018 12:43,3/30/2018 12:45,1,0,verbal,1,4,2,61,2,7,0,VET
R_3PtQhTrXmf95BiC,3/30/2018 9:38,3/30/2018 9:39,1,0,verbal,1,4,1,35,1,6,0,SCI
R_1Pcxxxnu2SFfcLQ,3/30/2018 9:34,3/30/2018 9:37,1,0,verbal,1,4,1,51,2,8,1,HEP
R_2sZ0znC1DFN3jgg,3/30/2018 11:34,3/30/2018 11:37,1,0,verbal,1,4,1,30,1,4,0,RHI
R_2D6cqLeQESytWbo,3/30/2018 9:24,3/30/2018 9:25,1,0,verbal,1,4,1,29,2,6,0,LPT
R_1C9ggEYEWCHqsT2,3/30/2018 9:31,3/30/2018 9:36,1,0,verbal,1,4,2,51,1,6,0,RHI
R_UK2XAOxYxzC40SJ,3/30/2018 13:58,3/30/2018 13:59,1,0,verbal,1,4,1,56,2,7,0,TEP
R_3GBV9yXWCwYV1jk,3/30/2018 12:09,3/30/2018 12:11,1,0,verbal,1,4,1,33,1,6,0,SCI
R_3Ga0rxGhpU7BJdD,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,28,2,9,1,CFX
R_3NwkBZWGfPepLJN,3/30/2018 11:29,3/30/2018 11:30,1,0,verbal,1,4,1,30,1,7,0,TEP
R_10Ab1OkkkhLO7gV,3/30/2018 12:26,3/30/2018 12:27,1,0,verbal,1,4,2,42,2,9,1,UFS
R_2CBLcga4GmmJ5Aq,3/30/2018 9:42,3/30/2018 9:43,1,0,verbal,1,4,1,25,1,8,1,SCI
R_29hPQZwXjoVra9L,3/30/2018 9:28,3/30/2018 9:29,1,0,verbal,1,4,1,38,2,7,0,RHI
R_2dXs4v3mntWW0UT,3/30/2018 13:18,3/30/2018 13:21,1,0,verbal,1,4,1,30,1,7,0,LPT
R_1LAMPGeYwdRxdIP,3/30/2018 13:23,3/30/2018 13:25,1,0,verbal,1,4,1,35,2,7,0,FII
R_2t57Pt6oT2sm2ZU,3/30/2018 9:51,3/30/2018 9:52,1,0,verbal,1,4,2,28,2,9,1,RHI
R_2t57Pt6oT2sm2ZU,3/30/2018 9:51,3/30/2018 9:52,1,0,verbal,1,4,2,28,1,7,0,RHI
R_32SeEcHQbNbTss0,3/30/2018 12:13,3/30/2018 12:14,1,0,verbal,1,4,1,22,2,7,0,RHI
R_24c4NrG8Uh15fWa,3/30/2018 13:45,3/30/2018 13:48,1,0,verbal,1,4,2,44,2,7,0,VET
R_2wnv6Ev7N4eIIzv,3/30/2018 10:10,3/30/2018 10:13,1,0,verbal,1,4,1,28,1,6,0,RHI
R_3iEc0hth1yEqueu,3/30/2018 11:25,3/30/2018 11:26,1,0,verbal,1,4,1,22,1,6,0,UFS
R_1Ii9063pKWgs4Z1,3/30/2018 14:09,3/30/2018 14:10,1,0,verbal,1,4,2,28,1,7,0,VET
R_3QmBxSXOXe8Tq4V,3/30/2018 11:06,3/30/2018 11:07,1,0,verbal,1,4,1,25,2,5,0,CFX
R_3kAHNbLiH4oVJWE,3/30/2018 13:52,3/30/2018 13:53,1,0,verbal,1,4,1,49,2,8,1,RHI
R_2YbrwmotChwkC7k,3/30/2018 13:04,3/30/2018 13:11,1,0,verbal,1,4,4,25,1,6,0,LPT
R_3fI4xgPFJJJFtDF,3/30/2018 9:55,3/30/2018 9:57,1,0,verbal,1,4,1,37,2,8,1,LPT
R_1GBaav9nUfj4ugq,3/30/2018 9:35,3/30/2018 9:37,1,0,verbal,1,4,2,43,2,2,0,RHI
R_2BzIBzs7ZfyZcgr,3/30/2018 9:49,3/30/2018 9:51,1,0,verbal,1,4,1,32,2,7,0,FII
R_1OCrsRiw6NwbphJ,3/30/2018 11:42,3/30/2018 11:44,1,0,verbal,1,4,2,59,1,7,0,LPT
R_24MiHmduiCwL1jr,3/30/2018 13:17,3/30/2018 13:19,1,0,verbal,1,4,2,32,1,8,1,CFX
R_2Xb1Ml29RTYRPvC,3/30/2018 12:26,3/30/2018 12:30,1,0,verbal,1,4,1,29,2,7,0,CFX
R_2Xb1Ml29RTYRPvC,3/30/2018 12:26,3/30/2018 12:30,1,0,verbal,1,4,1,29,1,4,0,CFX
R_1HdIhsM79G1gGzW,3/30/2018 14:36,3/30/2018 14:37,1,0,verbal,1,4,2,30,1,7,0,SCI
R_aaTFWXPqAHRbvlT,3/30/2018 10:55,3/30/2018 11:00,1,0,verbal,1,4,2,42,2,8,1,UFS
R_24qOI3lzVAHcYW1,3/30/2018 10:12,3/30/2018 10:13,1,0,verbal,1,4,1,50,2,7,0,SCI
R_3EtD2b2Gk2dbgsI,3/30/2018 12:37,3/30/2018 12:40,1,0,verbal,1,4,2,36,1,8,1,LPT
R_2rOzLMimFMR9o8L,3/30/2018 9:24,3/30/2018 9:28,1,0,verbal,1,4,1,33,2,8,1,HEP
R_eCGsJsvyMY8wc0N,3/30/2018 13:03,3/30/2018 13:05,1,0,verbal,1,4,1,34,2,7,0,FII
R_cXQJNQHV6iXRO3n,3/30/2018 10:37,3/30/2018 10:39,1,0,verbal,1,4,1,63,2,6,0,RHI
R_T6D4Hya5pvkOQ8h,3/30/2018 10:03,3/30/2018 10:05,1,0,verbal,1,4,1,30,2,8,1,GIL
R_3hayPX0KYFTvVcv,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,24,2,7,0,SCI
R_BEOdjTcdqWfIWSl,3/30/2018 11:17,3/30/2018 11:19,1,0,verbal,1,4,1,29,2,7,0,VET
R_1DBakhKBx0FLF9K,3/30/2018 10:11,3/30/2018 10:13,1,0,verbal,1,4,1,23,1,6,0,HEP
R_10od3E8KxnAUtf3,3/30/2018 9:30,3/30/2018 9:34,1,0,verbal,1,4,1,29,2,5,0,SCI
R_qIQvNXaSQzVNrq1,3/30/2018 9:36,3/30/2018 9:37,1,0,verbal,1,4,2,27,2,7,0,FII
R_3Ebc3wuIRf7Flmb,3/30/2018 9:30,3/30/2018 9:31,1,0,verbal,1,4,2,28,2,8,1,GIL
R_bgcRh9ynRnn83SN,3/30/2018 12:43,3/30/2018 12:45,1,0,verbal,1,4,2,61,1,6,0,VET
R_2D6cqLeQESytWbo,3/30/2018 9:24,3/30/2018 9:25,1,0,verbal,1,4,1,29,1,4,0,LPT
R_8CwRx8hxCn5zrUd,3/30/2018 9:40,3/30/2018 9:41,1,0,verbal,1,4,1,53,1,8,1,VET
R_1dphiko7vDV3JoW,3/30/2018 9:38,3/30/2018 9:41,1,0,verbal,1,4,2,28,1,8,1,UFS
R_2Pu1XJz6suRyIE8,3/30/2018 9:36,3/30/2018 9:38,1,0,verbal,1,4,1,29,2,6,0,SCI
R_V2MSud0cTX9uJb3,3/30/2018 9:58,3/30/2018 10:00,1,0,verbal,1,4,1,57,2,7,0,TEP
R_VUxDaCqqhMatvJ7,3/30/2018 10:13,3/30/2018 10:15,1,0,verbal,1,4,1,49,1,7,0,LPT
R_PANVt5TbqgDl3iN,3/30/2018 9:27,3/30/2018 9:35,1,0,verbal,1,4,2,40,2,6,0,RHI
R_brLIjttfsk70wTv,3/30/2018 9:48,3/30/2018 9:50,1,0,verbal,1,4,1,25,2,8,1,TEP
R_2zvBLnqkVn4VEgc,3/30/2018 10:00,3/30/2018 10:02,1,0,verbal,1,4,1,67,1,7,0,HEP
R_1DBakhKBx0FLF9K,3/30/2018 10:11,3/30/2018 10:13,1,0,verbal,1,4,1,23,2,6,0,HEP
R_3gZ4blH2IBpClpW,3/30/2018 11:52,3/30/2018 11:53,1,0,verbal,1,4,2,31,2,6,0,TEP
R_3njwLmFQiSJkSqm,3/30/2018 9:32,3/30/2018 9:34,1,0,verbal,1,4,2,34,2,9,1,VET
R_Df92w2WCRXm6893,3/30/2018 11:02,3/30/2018 11:03,1,0,verbal,1,4,1,24,2,6,0,GIL
R_1IYLdIX5A6CcHW5,3/30/2018 9:26,3/30/2018 9:28,1,0,verbal,1,4,1,35,1,6,0,RHI
R_aWUZtf8qrloXcPf,3/30/2018 9:48,3/30/2018 9:51,1,0,verbal,1,4,2,42,1,7,0,CFX
R_3kAHNbLiH4oVJWE,3/30/2018 13:52,3/30/2018 13:53,1,0,verbal,1,4,1,49,1,7,0,RHI
R_24qOI3lzVAHcYW1,3/30/2018 10:12,3/30/2018 10:13,1,0,verbal,1,4,1,50,1,6,0,SCI
R_brLIjttfsk70wTv,3/30/2018 9:48,3/30/2018 9:50,1,0,verbal,1,4,1,25,1,9,1,TEP
R_1jAKQ3IHDtRIgQd,3/30/2018 11:14,3/30/2018 11:17,1,0,verbal,1,4,1,45,1,7,0,CFX
R_2dXs4v3mntWW0UT,3/30/2018 13:18,3/30/2018 13:21,1,0,verbal,1,4,1,30,2,5,0,LPT
R_3qgnpR4zNHxSeKD,3/30/2018 11:23,3/30/2018 11:25,1,0,verbal,1,4,2,33,2,7,0,HEP
R_2YhrpVdmaEy7PTw,3/30/2018 10:06,3/30/2018 10:10,1,0,verbal,1,4,2,60,1,6,0,LPT
R_1C9ggEYEWCHqsT2,3/30/2018 9:31,3/30/2018 9:36,1,0,verbal,1,4,2,51,2,7,0,RHI
R_ABsBnOgwT5LDPjz,3/30/2018 10:00,3/30/2018 10:15,1,0,verbal,1,4,1,23,2,8,1,LPT
R_10vCrXwwpvGy19h,3/30/2018 11:31,3/30/2018 11:32,1,0,verbal,1,4,2,35,2,8,1,GIL
R_2dG4pDnKmI512R4,3/30/2018 9:40,3/30/2018 9:42,1,0,verbal,1,4,2,33,1,6,0,LPT
R_24c4NrG8Uh15fWa,3/30/2018 13:45,3/30/2018 13:48,1,0,verbal,1,4,2,44,1,4,0,VET
R_VVISfLWCuTEK2vD,3/30/2018 11:11,3/30/2018 11:12,1,0,verbal,1,4,1,26,1,6,0,VET
R_3GBV9yXWCwYV1jk,3/30/2018 12:09,3/30/2018 12:11,1,0,verbal,1,4,1,33,2,8,1,SCI
R_Y0tcOewA5OE8kZb,3/30/2018 9:28,3/30/2018 9:30,1,0,verbal,1,4,2,39,2,7,0,CFX
R_10UvdMFIHafNq04,3/30/2018 13:06,3/30/2018 13:09,1,0,verbal,1,4,2,57,2,6,0,RHI
R_1YNnDLrK8RfGMaR,3/30/2018 9:24,3/30/2018 9:26,1,0,verbal,1,4,2,40,1,8,1,UFS
R_3Ebc3wuIRf7Flmb,3/30/2018 9:30,3/30/2018 9:31,1,0,verbal,1,4,2,28,1,8,1,GIL
R_1NDmS1yXKnl9Wf5,3/30/2018 9:55,3/30/2018 9:56,1,0,verbal,1,4,1,22,1,6,0,CFX
R_3qgnpR4zNHxSeKD,3/30/2018 11:23,3/30/2018 11:25,1,0,verbal,1,4,2,33,1,7,0,HEP
R_3hxUOVBmiQ62QUf,3/30/2018 10:57,3/30/2018 11:01,1,0,verbal,1,4,1,25,2,7,0,HEP
R_1KxcpylucAT0QgM,3/30/2018 10:45,3/30/2018 10:46,1,0,verbal,1,4,1,53,1,8,1,FII
R_1KxcpylucAT0QgM,3/30/2018 10:45,3/30/2018 10:46,1,0,verbal,1,4,1,53,2,8,1,FII
R_3J9mqruXE6tVL2i,3/30/2018 9:24,3/30/2018 9:27,1,0,verbal,1,4,2,71,1,6,0,RHI
R_2zbU6Q2jSGMFBkl,3/30/2018 12:23,3/30/2018 12:27,1,0,verbal,1,4,2,28,1,6,0,TEP
R_3kj6clHIFzQjhDm,3/30/2018 10:03,3/30/2018 10:05,1,0,verbal,1,4,1,55,1,7,0,UFS
R_3ERwCF3hcCa6pJI,3/30/2018 13:37,3/30/2018 13:38,1,0,verbal,1,4,2,24,2,10,1,FII
R_1IYLdIX5A6CcHW5,3/30/2018 9:26,3/30/2018 9:28,1,0,verbal,1,4,1,35,2,7,0,RHI
R_3EtD2b2Gk2dbgsI,3/30/2018 12:37,3/30/2018 12:40,1,0,verbal,1,4,2,36,2,8,1,LPT
R_a9KZpxAX6Yb34Gd,3/30/2018 9:30,3/30/2018 9:32,1,0,verbal,1,4,2,24,2,2,0,GIL
R_28TFfCy3oiicsWG,3/30/2018 14:42,3/30/2018 14:43,1,0,verbal,1,4,2,26,2,7,0,SCI
R_1YNnDLrK8RfGMaR,3/30/2018 9:24,3/30/2018 9:26,1,0,verbal,1,4,2,40,2,9,1,UFS
R_2ds73VCwpdtoqrt,3/30/2018 13:21,3/30/2018 13:22,1,0,verbal,1,4,1,32,1,6,0,RHI
R_1KflQP49C0jlOjf,3/30/2018 9:34,3/30/2018 9:35,1,0,verbal,1,4,2,35,2,7,0,GIL
R_VUxDaCqqhMatvJ7,3/30/2018 10:13,3/30/2018 10:15,1,0,verbal,1,4,1,49,2,7,0,LPT
R_2y2Wbwsa4Ude7lB,3/30/2018 9:57,3/30/2018 9:58,1,0,verbal,1,4,2,38,1,6,0,TEP
R_10Ab1OkkkhLO7gV,3/30/2018 12:26,3/30/2018 12:27,1,0,verbal,1,4,2,42,1,8,1,UFS
R_3QmBxSXOXe8Tq4V,3/30/2018 11:06,3/30/2018 11:07,1,0,verbal,1,4,1,25,1,5,0,CFX
R_UbtOOazDgLJA9wJ,3/30/2018 9:24,3/30/2018 9:29,1,0,verbal,1,4,2,24,2,7,0,VET
R_qzptsqqsUFu6PgB,3/30/2018 10:23,3/30/2018 10:27,1,0,verbal,1,4,2,52,2,6,0,LPT
R_3NwkBZWGfPepLJN,3/30/2018 11:29,3/30/2018 11:30,1,0,verbal,1,4,1,30,2,4,0,TEP
R_2xKMo6b2eutQsgs,3/30/2018 11:03,3/30/2018 11:05,1,0,verbal,1,4,2,34,2,7,0,VET
R_1eRIYZl6U78lMPx,3/30/2018 13:23,3/30/2018 13:25,0,0,numeric,1,4,2,60,2,7,0,TEP
R_2YD3Mi6NxcGL3nc,3/30/2018 12:06,3/30/2018 12:07,0,0,numeric,1,4,1,31,1,6,0,CFX
R_2Enq8al0YGSXiit,3/30/2018 14:01,3/30/2018 14:02,0,0,numeric,1,4,2,28,2,7,0,FII
R_1Qbz8g6HpVFCMsT,3/30/2018 9:52,3/30/2018 9:54,0,0,numeric,1,4,2,53,2,8,1,GIL
R_1OZwYGo46gDRk3H,3/30/2018 13:02,3/30/2018 13:04,0,0,numeric,1,4,2,28,2,7,0,SCI
R_3EPUaoCUdX2iiIJ,3/30/2018 13:11,3/30/2018 13:12,0,0,numeric,1,4,1,31,2,7,0,UFS
R_3m8i2WZQ0YVSdfH,3/30/2018 11:43,3/30/2018 11:45,0,0,numeric,1,4,2,28,1,8,1,RHI
R_ZaEtDymYuHFrZU5,3/30/2018 11:40,3/30/2018 11:42,0,0,numeric,1,4,1,56,1,7,0,UFS
R_1ersbe95ypwq9oC,3/30/2018 9:33,3/30/2018 9:35,0,0,numeric,1,4,2,31,1,6,0,TEP
R_3KJwpmiRFG60cdS,3/30/2018 12:19,3/30/2018 12:22,0,0,numeric,1,4,1,44,2,7,0,FII
R_8oTDjSYdc1Bc28p,3/30/2018 12:37,3/30/2018 12:38,0,0,numeric,1,4,1,24,1,7,0,TEP
R_1ersbe95ypwq9oC,3/30/2018 9:33,3/30/2018 9:35,0,0,numeric,1,4,2,31,2,7,0,TEP
R_3ktQnLKGR43fC3u,3/30/2018 13:50,3/30/2018 13:52,0,0,numeric,1,4,1,62,2,7,0,UFS
R_3PBJjfO3SeqRFnf,3/30/2018 11:05,3/30/2018 11:07,0,0,numeric,1,4,1,29,2,4,0,GIL
R_yIRzgqE3IIR4ZtT,3/30/2018 10:10,3/30/2018 10:12,0,0,numeric,1,4,1,38,1,7,0,CFX
R_3PBJjfO3SeqRFnf,3/30/2018 11:05,3/30/2018 11:07,0,0,numeric,1,4,1,29,1,5,0,GIL
R_1F8p0vxwzE47ypL,3/30/2018 10:59,3/30/2018 11:01,0,0,numeric,1,4,1,24,1,7,0,SCI
R_1jx0uMRGpAHzjpl,3/30/2018 11:01,3/30/2018 11:04,0,0,numeric,1,4,2,64,1,7,0,UFS
R_ZIEYXpfpVpbRO81,3/30/2018 9:35,3/30/2018 9:36,0,0,numeric,1,4,1,30,1,5,0,LPT
R_2aF98cLcI7JSVk5,3/30/2018 11:07,3/30/2018 11:09,0,0,numeric,1,4,2,31,1,7,0,FII
R_3jVwX04ARLyI54M,3/30/2018 13:18,3/30/2018 13:19,0,0,numeric,1,4,1,25,2,8,1,SCI
R_80NiY50LbxoVTQl,3/30/2018 9:36,3/30/2018 9:38,0,0,numeric,1,4,1,33,2,7,0,UFS
R_OMZBvFnXkC1bESR,3/30/2018 11:50,3/30/2018 11:54,0,0,numeric,1,4,1,35,1,7,0,HEP
R_2XjOcmHUiFDCA6z,3/30/2018 9:26,3/30/2018 9:30,0,0,numeric,1,4,2,33,1,8,1,SCI
R_2XjPu5u4Ed7niJC,3/30/2018 11:13,3/30/2018 11:16,0,0,numeric,1,4,2,39,1,5,0,UFS
R_32UXO5hwBm4w58k,3/30/2018 10:06,3/30/2018 10:07,0,0,numeric,1,4,1,39,1,5,0,GIL
R_3lsKIatMUsOI8Yx,3/30/2018 11:09,3/30/2018 11:10,0,0,numeric,1,4,1,30,2,6,0,UFS
R_2XjPu5u4Ed7niJC,3/30/2018 11:13,3/30/2018 11:16,0,0,numeric,1,4,2,39,2,7,0,UFS
